N	measure_1	measure_2	test_statistic	pvalue
30	Eta	Zeta_orig	-0.5924501480541419	0.5609187488382049
30	Eta	Zeta_log	-1.2629199811996705	0.22273348168401944
30	Eta	RRF	9.018063058843303	4.274709298555981e-08
30	Eta	Eta	0.0	1.0
30	Eta	Welch	-1.2162087351111308	0.23961448034764443
30	Eta	Wilcoxon	-1.2029259310746545	0.24458941584103505
30	Eta	KLD	2.877455752277337	0.010021255255331912
30	Eta	χ2	1.091924574814717	0.2892664726623671
30	Eta	LLR	-0.8431682487737447	0.41019941975444996
30	Eta	TF-IDF	-0.14630171781532078	0.8853092496831969
30	Welch	Zeta_orig	0.3787686095103965	0.7092903444108006
30	Welch	Zeta_log	0.06647118395209688	0.9477354463421743
30	Welch	RRF	9.40596828064617	2.272443214581643e-08
30	Welch	Eta	1.2162087351111308	0.23961448034764443
30	Welch	Welch	0.0	1.0
30	Welch	Wilcoxon	-0.056066991466712006	0.9559061086155525
30	Welch	KLD	3.760579566476455	0.0014317930812512236
30	Welch	χ2	2.0555337688641813	0.0546304714985928
30	Welch	LLR	0.32248738513888797	0.7507991170784565
30	Welch	TF-IDF	0.7035196232503405	0.4907329577179881
30	Wilcoxon	Zeta_orig	0.4122664414171774	0.6850125584724098
30	Wilcoxon	Zeta_log	0.122612163431372	0.9037728310210511
30	Wilcoxon	RRF	8.891672717570874	5.272391961081024e-08
30	Wilcoxon	Eta	1.2029259310746545	0.24458941584103505
30	Wilcoxon	Welch	0.056066991466712006	0.9559061086155525
30	Wilcoxon	Wilcoxon	0.0	1.0
30	Wilcoxon	KLD	3.628204655675134	0.0019226772513855229
30	Wilcoxon	χ2	2.0153938360577	0.05904498240359741
30	Wilcoxon	LLR	0.3613971459845866	0.7220098043189305
30	Wilcoxon	TF-IDF	0.7251772704552785	0.4776657965656623
30	KLD	Zeta_orig	-2.7997429945289953	0.011843244258854146
30	KLD	Zeta_log	-3.987568361541343	0.0008634083785345931
30	KLD	RRF	5.048082493643726	8.36753066116194e-05
30	KLD	Eta	-2.877455752277337	0.010021255255331912
30	KLD	Welch	-3.760579566476455	0.0014317930812512236
30	KLD	Wilcoxon	-3.628204655675134	0.0019226772513855229
30	KLD	KLD	0.0	1.0
30	KLD	χ2	-1.4694362866297763	0.1589763307130444
30	KLD	LLR	-3.3840028174657952	0.003306579359397518
30	KLD	TF-IDF	-2.164098763246318	0.04414804637522389
30	χ2	Zeta_orig	-1.4032883545698742	0.17754643555806643
30	χ2	Zeta_log	-2.135788798653347	0.04668836334173277
30	χ2	RRF	6.345025737896167	5.603017848904443e-06
30	χ2	Eta	-1.091924574814717	0.2892664726623671
30	χ2	Welch	-2.0555337688641813	0.0546304714985928
30	χ2	Wilcoxon	-2.0153938360577	0.05904498240359741
30	χ2	KLD	1.4694362866297763	0.1589763307130444
30	χ2	χ2	0.0	1.0
30	χ2	LLR	-1.7270143347023528	0.10128555681779805
30	χ2	TF-IDF	-0.9269063202186714	0.36623756150602604
30	LLR	Zeta_orig	0.1027603462604	0.9192893609075359
30	LLR	Zeta_log	-0.2827947824410958	0.7805605290262501
30	LLR	RRF	8.863220407850164	5.528817904903467e-08
30	LLR	Eta	0.8431682487737447	0.41019941975444996
30	LLR	Welch	-0.32248738513888797	0.7507991170784565
30	LLR	Wilcoxon	-0.3613971459845866	0.7220098043189305
30	LLR	KLD	3.3840028174657952	0.003306579359397518
30	LLR	χ2	1.7270143347023528	0.10128555681779805
30	LLR	LLR	0.0	1.0
30	LLR	TF-IDF	0.4523324204342032	0.6564334617707478
30	TF-IDF	Zeta_orig	-0.32623366569796985	0.7480100027085965
30	TF-IDF	Zeta_log	-0.6862346533489431	0.5013099049240273
30	TF-IDF	RRF	6.059426891672053	9.980790675860015e-06
30	TF-IDF	Eta	0.14630171781532078	0.8853092496831969
30	TF-IDF	Welch	-0.7035196232503405	0.4907329577179881
30	TF-IDF	Wilcoxon	-0.7251772704552785	0.4776657965656623
30	TF-IDF	KLD	2.164098763246318	0.04414804637522389
30	TF-IDF	χ2	0.9269063202186714	0.36623756150602604
30	TF-IDF	LLR	-0.4523324204342032	0.6564334617707478
30	TF-IDF	TF-IDF	0.0	1.0
40	Zeta_orig	Zeta_orig	0.0	1.0
40	Zeta_orig	Zeta_log	-0.37734393164830754	0.7103302573363608
40	Zeta_orig	RRF	6.642238644614435	3.1081271710003087e-06
40	Zeta_orig	Eta	-0.15963004637119896	0.8749501036703369
40	Zeta_orig	Welch	-2.1754951735943875	0.04316160356125835
40	Zeta_orig	Wilcoxon	-1.6143927125828805	0.12383507910826438
40	Zeta_orig	KLD	1.4781362388945394	0.15665683236602848
40	Zeta_orig	χ2	1.1721123096781465	0.2564325381668718
40	Zeta_orig	LLR	-1.1010432857609467	0.2853842265649584
40	Zeta_orig	TF-IDF	-0.06990978915560268	0.9450362921403281
40	Zeta_log	Zeta_orig	0.37734393164830754	0.7103302573363608
40	Zeta_log	Zeta_log	0.0	1.0
40	Zeta_log	RRF	7.321823934101987	8.449730485041644e-07
40	Zeta_log	Eta	0.2222686390630136	0.8266072027643191
40	Zeta_log	Welch	-1.9462592837591715	0.06740534797080476
40	Zeta_log	Wilcoxon	-1.3528307447197794	0.1928595682983651
40	Zeta_log	KLD	1.7827492336943862	0.09150107994066527
40	Zeta_log	χ2	1.5135041541305678	0.14751250178876166
40	Zeta_log	LLR	-0.7737959626593928	0.4490956762643633
40	Zeta_log	TF-IDF	0.25413644431386734	0.8022705805725159
40	RRF	Zeta_orig	-6.642238644614435	3.1081271710003087e-06
40	RRF	Zeta_log	-7.321823934101987	8.449730485041644e-07
40	RRF	RRF	0.0	1.0
40	RRF	Eta	-6.976416780115832	1.6253320965920177e-06
40	RRF	Welch	-8.847822914219392	5.672984522948458e-08
40	RRF	Wilcoxon	-8.009412341065763	2.410012148992075e-07
40	RRF	KLD	-3.5795727111964153	0.0021423549154360095
40	RRF	χ2	-4.42752482856173	0.0003250672614590461
40	RRF	LLR	-8.115622411362214	1.9965484850869996e-07
40	RRF	TF-IDF	-6.078516236733231	9.599754735836222e-06
40	Eta	Zeta_orig	0.15963004637119896	0.8749501036703369
40	Eta	Zeta_log	-0.2222686390630136	0.8266072027643191
40	Eta	RRF	6.976416780115832	1.6253320965920177e-06
40	Eta	Eta	0.0	1.0
40	Eta	Welch	-2.100355529937921	0.05005552854498572
40	Eta	Wilcoxon	-1.5173826464546847	0.14653717882176856
40	Eta	KLD	1.6154176681005357	0.12361204008311277
40	Eta	χ2	1.3246691714750627	0.2018538196238361
40	Eta	LLR	-0.9754079232666347	0.3422854717606778
40	Eta	TF-IDF	0.0677021435998118	0.9467691204638665
40	Welch	Zeta_orig	2.1754951735943875	0.04316160356125835
40	Welch	Zeta_log	1.9462592837591715	0.06740534797080476
40	Welch	RRF	8.847822914219392	5.672984522948458e-08
40	Welch	Eta	2.100355529937921	0.05005552854498572
40	Welch	Welch	0.0	1.0
40	Welch	Wilcoxon	0.4337855856765886	0.6695985941178545
40	Welch	KLD	3.002390922171331	0.007645554271232903
40	Welch	χ2	2.9018963595125724	0.009506376931491855
40	Welch	LLR	1.2556648415154075	0.22529324819036323
40	Welch	TF-IDF	1.8193456396223584	0.08553367007090748
40	Wilcoxon	Zeta_orig	1.6143927125828805	0.12383507910826438
40	Wilcoxon	Zeta_log	1.3528307447197794	0.1928595682983651
40	Wilcoxon	RRF	8.009412341065763	2.410012148992075e-07
40	Wilcoxon	Eta	1.5173826464546847	0.14653717882176856
40	Wilcoxon	Welch	-0.4337855856765886	0.6695985941178545
40	Wilcoxon	Wilcoxon	0.0	1.0
40	Wilcoxon	KLD	2.6106480845165456	0.017698475322919044
40	Wilcoxon	χ2	2.4493908613648707	0.024774618793573643
40	Wilcoxon	LLR	0.6962927862804796	0.4951392829896172
40	Wilcoxon	TF-IDF	1.3589217716823447	0.19095683455683377
40	KLD	Zeta_orig	-1.4781362388945394	0.15665683236602848
40	KLD	Zeta_log	-1.7827492336943862	0.09150107994066527
40	KLD	RRF	3.5795727111964153	0.0021423549154360095
40	KLD	Eta	-1.6154176681005357	0.12361204008311277
40	KLD	Welch	-3.002390922171331	0.007645554271232903
40	KLD	Wilcoxon	-2.6106480845165456	0.017698475322919044
40	KLD	KLD	0.0	1.0
40	KLD	χ2	-0.38685161293238585	0.7034015062954999
40	KLD	LLR	-2.2830645562012757	0.034799249987890864
40	KLD	TF-IDF	-1.4364903958886535	0.16801663057334
40	χ2	Zeta_orig	-1.1721123096781465	0.2564325381668718
40	χ2	Zeta_log	-1.5135041541305678	0.14751250178876166
40	χ2	RRF	4.42752482856173	0.0003250672614590461
40	χ2	Eta	-1.3246691714750627	0.2018538196238361
40	χ2	Welch	-2.9018963595125724	0.009506376931491855
40	χ2	Wilcoxon	-2.4493908613648707	0.024774618793573643
40	χ2	KLD	0.38685161293238585	0.7034015062954999
40	χ2	χ2	0.0	1.0
40	χ2	LLR	-2.085112451462655	0.05157082884823448
40	χ2	TF-IDF	-1.1376079855258145	0.27020115840549863
40	LLR	Zeta_orig	1.1010432857609467	0.2853842265649584
40	LLR	Zeta_log	0.7737959626593928	0.4490956762643633
40	LLR	RRF	8.115622411362214	1.9965484850869996e-07
40	LLR	Eta	0.9754079232666347	0.3422854717606778
40	LLR	Welch	-1.2556648415154075	0.22529324819036323
40	LLR	Wilcoxon	-0.6962927862804796	0.4951392829896172
40	LLR	KLD	2.2830645562012757	0.034799249987890864
40	LLR	χ2	2.085112451462655	0.05157082884823448
40	LLR	LLR	0.0	1.0
40	LLR	TF-IDF	0.8729002265825594	0.3942133517012427
40	TF-IDF	Zeta_orig	0.06990978915560268	0.9450362921403281
40	TF-IDF	Zeta_log	-0.25413644431386734	0.8022705805725159
40	TF-IDF	RRF	6.078516236733231	9.599754735836222e-06
40	TF-IDF	Eta	-0.0677021435998118	0.9467691204638665
40	TF-IDF	Welch	-1.8193456396223584	0.08553367007090748
40	TF-IDF	Wilcoxon	-1.3589217716823447	0.19095683455683377
40	TF-IDF	KLD	1.4364903958886535	0.16801663057334
40	TF-IDF	χ2	1.1376079855258145	0.27020115840549863
40	TF-IDF	LLR	-0.8729002265825594	0.3942133517012427
40	TF-IDF	TF-IDF	0.0	1.0
50	Zeta_orig	Zeta_orig	0.0	1.0
50	Zeta_orig	Zeta_log	-0.5027857348488293	0.621211015694123
50	Zeta_orig	RRF	7.561901146328707	5.413793736833391e-07
50	Zeta_orig	Eta	0.3386403738303565	0.7387988996484229
50	Zeta_orig	Welch	-1.610373001613424	0.12471309247814152
50	Zeta_orig	Wilcoxon	-1.1455866615207453	0.26696936614013494
50	Zeta_orig	KLD	1.1499576619953096	0.26521114796492956
50	Zeta_orig	χ2	1.20853814749657	0.2424778980695969
50	Zeta_orig	LLR	-0.4457256086190324	0.6611102141670564
50	Zeta_orig	TF-IDF	-0.42707840283438636	0.6743871164424322
50	Zeta_log	Zeta_orig	0.5027857348488293	0.621211015694123
50	Zeta_log	Zeta_log	0.0	1.0
50	Zeta_log	RRF	8.101821358957702	2.0458092473996792e-07
50	Zeta_log	Eta	0.8456799261928346	0.40883298159750914
50	Zeta_log	Welch	-1.038188573182158	0.31292832956307776
50	Zeta_log	Wilcoxon	-0.6189780352221739	0.5436859126718611
50	Zeta_log	KLD	1.6889874177228414	0.10846912323851446
50	Zeta_log	χ2	1.6585490874987534	0.11453019834177035
50	Zeta_log	LLR	0.14381068424384588	0.8872477713951952
50	Zeta_log	TF-IDF	0.07634576833956058	0.9399861969212444
50	RRF	Zeta_orig	-7.561901146328707	5.413793736833391e-07
50	RRF	Zeta_log	-8.101821358957702	2.0458092473996792e-07
50	RRF	RRF	0.0	1.0
50	RRF	Eta	-7.269625095464182	9.318081711366733e-07
50	RRF	Welch	-10.532502130803138	3.995970967183504e-09
50	RRF	Wilcoxon	-9.206340650453459	3.138679883172943e-08
50	RRF	KLD	-6.932165423479132	1.7694860679356806e-06
50	RRF	χ2	-5.410633969121384	3.851055308554028e-05
50	RRF	LLR	-9.565981089282488	1.7600589952493176e-08
50	RRF	TF-IDF	-8.031359442079959	2.3178023572232644e-07
50	Eta	Zeta_orig	-0.3386403738303565	0.7387988996484229
50	Eta	Zeta_log	-0.8456799261928346	0.40883298159750914
50	Eta	RRF	7.269625095464182	9.318081711366733e-07
50	Eta	Eta	0.0	1.0
50	Eta	Welch	-2.01433997711986	0.05916509499036448
50	Eta	Wilcoxon	-1.5111835482660436	0.14809863295091463
50	Eta	KLD	0.7976584456534476	0.4354658914377393
50	Eta	χ2	0.9139941081197616	0.37280127071625024
50	Eta	LLR	-0.8490495272598071	0.4070044272397533
50	Eta	TF-IDF	-0.769776461500887	0.4514171475330596
50	Welch	Zeta_orig	1.610373001613424	0.12471309247814152
50	Welch	Zeta_log	1.038188573182158	0.31292832956307776
50	Welch	RRF	10.532502130803138	3.995970967183504e-09
50	Welch	Eta	2.01433997711986	0.05916509499036448
50	Welch	Welch	0.0	1.0
50	Welch	Wilcoxon	0.3885260976656879	0.7021839628795465
50	Welch	KLD	3.103591001475868	0.006130966166357976
50	Welch	χ2	2.7360442985165463	0.01357019613979763
50	Welch	LLR	1.4666474743653057	0.15972579824130378
50	Welch	TF-IDF	1.12684285910255	0.2746076132673484
50	Wilcoxon	Zeta_orig	1.1455866615207453	0.26696936614013494
50	Wilcoxon	Zeta_log	0.6189780352221739	0.5436859126718611
50	Wilcoxon	RRF	9.206340650453459	3.138679883172943e-08
50	Wilcoxon	Eta	1.5111835482660436	0.14809863295091463
50	Wilcoxon	Welch	-0.3885260976656879	0.7021839628795465
50	Wilcoxon	Wilcoxon	0.0	1.0
50	Wilcoxon	KLD	2.450235476935443	0.02473142910986027
50	Wilcoxon	χ2	2.2688677395126353	0.035809946107507346
