"Broughton_ENG18830" "Broughton_ENG18871" "Broughton_ENG18901" "Dickens_ENG18481" "Dickens_ENG18530" "Dickens_ENG18540" "Disraeli_ENG18440" "Disraeli_ENG18450" "Disraeli_ENG18800" "Eliot_ENG18610" "Eliot_ENG18660" "Eliot_ENG18721" "Nesbit_ENG18890" "Nesbit_ENG19020" "Nesbit_ENG19060" "Ouida_ENG18670" "Ouida_ENG18740" "Ouida_ENG18831" "Trollope_ENG18551" "Trollope_ENG18650" "Trollope_ENG18742" "Ward_ENG18880" "Ward_ENG18951" "Ward_ENG19091" "Wells_ENG18952" "Wells_ENG19090" "Wells_ENG19120" "Yonge_ENG18531" "Yonge_ENG18560" "Yonge_ENG18651"
"is" 1.94725879902566 1.46597455935201 1.92591532994792 0.600726459905001 0.957479182228124 0.46113930762821 0.717603155453596 0.816183466025737 0.907663880538227 0.261804833942862 0.565517389391452 0.672915015847861 0.579901561194061 0.537355407871169 0.483402257740025 0.388682457968985 0.678826728127194 0.361364421327202 0.697756820845485 0.532419904313346 0.40726366728954 0.444517334809363 0.142467537753898 0.336790255337458 0.322924600152323 0.38873955894679 0.264286327807547 0.745835436648158 0.826648018155909 0.754646553577877
"but" 0.692625410385851 0.546888369174605 0.672314804580063 0.581167924001118 0.564915483995906 0.494280736307855 0.619464047956894 0.632792549196335 0.843947845529162 0.769220388388821 0.723261329126828 0.738225534865293 0.726424731460176 0.629425649095201 0.599362914943557 0.51041923600226 0.722041161748024 0.443844175125137 0.793153261195454 0.933596440605395 0.888793062143644 0.592461997355446 0.590222656409004 0.698802688387413 0.621477532368621 0.523136506835458 0.523947644878461 0.758034662628302 0.834894706285956 0.837414240099321
"s" 0.51611536696438 0.638155267811306 0.548775333719123 0.703548477228276 0.695216753810828 0.55772289978032 0.265038099226764 0.370537279054629 0.192885815072897 1.30227662244774 0.847202996061767 0.717796652139461 0.814132262957498 1.07136280697055 1.09953056890578 0.540654514206602 0.372724489979653 0.255171738312361 0.600997574204802 0.627982451241382 0.771405299219012 0.734598208947065 1.09903529124435 0.789305796649901 0.216298552932216 0.781814503309344 0.809376878910612 0.604913343429245 0.667981738533805 0.660924320310947
"at" 0.737105941328062 0.621755746962524 0.746438487096627 0.675328303995529 0.690513735579716 0.643890614347398 0.615088418960225 0.614641229783186 0.583870575355796 0.5802890649249 0.629902670916095 0.609152139461173 0.660386119509251 0.589249543833805 0.589583100480608 0.47660346432635 0.518573203449952 0.452092150504931 0.560113385483387 0.685071764990599 0.795361985530161 0.625604335154454 0.765254202792364 0.626103470274922 0.743335872048743 0.70160987311772 0.624376449445329 0.687363284536429 0.630376840660791 0.642666742401805
"him" 0.511173085748579 0.373623866293994 0.747088694838001 0.663313774797429 0.575981409245581 0.569085675327627 0.476943560636842 0.365530018526864 0.480766445977491 0.618075329617684 0.544592172895943 0.624628565768621 0.595379360870059 0.154008403502017 0.178830893036772 0.955991756908363 0.478959972630859 0.639218091933996 0.624165281146938 0.793355300308406 0.84327535815246 0.821383299678485 0.797818211421826 0.683966113262415 0.121858339680122 0.296973900979797 0.457876062926575 0.91283863368669 0.621800285005542 0.555030368437922
"be" 0.650262999964698 0.598225999657749 0.535771178891656 0.488963397597094 0.63933383129997 0.676085145064768 0.575082668133544 0.516373741925792 0.704351805191119 0.709841972443017 0.731309489317409 0.759583003169572 0.648003879768452 0.473743241207292 0.477813792332625 0.40658492532682 0.390730503988332 0.316516055199575 0.831311837335441 0.931424564538849 0.845671026783575 0.419575163063719 0.354133593845402 0.379816323199953 0.28027418126428 0.284690308968467 0.417572397935924 0.771075214538112 0.790362590383702 0.818345214283106
"said" 0.0374201292053518 0.0613199475215333 0.0520166193098695 0.704107292539816 0.48136774836086 0.68839481857435 0.580708476843546 1.06466876971609 0.659750580684774 0.646415028137272 0.57839444569638 0.709748910459588 0.609825307234324 1.10651689907428 1.65418576059014 0.177035510538586 0.361920881574446 0.183517452200405 0.470168170296274 0.746504830872908 0.661204542187725 0.443492314052693 0.610575161802418 0.418391418524948 0.271134805788271 0.541200612734472 0.671947988450687 0.77401985529194 0.967501451417111 0.828894037075055
"on" 0.43209658629576 0.539045120073014 0.496758714409254 0.646828723107013 0.572384983539436 0.506590409817438 0.508823143326853 0.475063842571729 0.512624463482023 0.694997368456566 0.687312880275569 0.624009508716323 0.618080133728189 0.636121666638767 0.568626355202861 0.664778287887588 0.552784630066442 0.722728842654405 0.565564610646243 0.496118547201072 0.63964352450769 0.687105580554673 0.761183701713681 0.658743935549918 0.417364813404417 0.450157519003439 0.449286757272829 0.617533232374222 0.526798437747401 0.52054383238732
"have" 0.684858968475306 0.654554788660088 0.672965012321437 0.544006705783738 0.604476166763493 0.727217635027649 0.506322783900186 0.652195683741425 0.593138362266206 0.415648911620626 0.530105484552898 0.631438193343899 0.595379360870059 0.435241140331788 0.391192578517939 0.464668486087794 0.35831967877271 0.30672158443607 0.497424296110551 0.709272669732115 0.455177039911839 0.456817583889407 0.195384051776774 0.367947063099954 0.371667936024372 0.386571866238909 0.263625611988028 0.630573784284032 0.622789887581147 0.625220612399735
"all" 0.409503300737812 0.390023387142776 0.37061841258282 0.347583123777591 0.414695548731568 0.408113021740777 0.482569369346844 0.408717640578839 0.435006748107344 0.307688155355528 0.329974567813798 0.323147781299525 0.431314684304479 0.470395232435509 0.623113892925003 0.469044644775264 0.758053189765382 0.611381175027193 0.45790291367985 0.437477893404323 0.467155383067414 0.499185108498447 0.42333211218301 0.388718268274951 0.362528560548363 0.581664209948264 0.504786886112414 0.469459868753155 0.489523407399588 0.463336754938675
"so" 0.398206657958838 0.435656836461126 0.525367855029682 0.443699357362392 0.557722632583617 0.514165593515643 0.270038818080099 0.30419107706174 0.340591168957548 0.304989136448901 0.237688997628475 0.250718106180666 0.404486498199416 0.41515308770109 0.440091650832681 0.385897629713322 0.576192448277725 0.404666292071118 0.588732317588378 0.511321679666896 0.452781371280724 0.353973834636818 0.199454552855457 0.299698817524963 0.347296268088347 0.314315442642851 0.366036564013452 0.576308261820629 0.556816382540772 0.564767743322798
"by" 0.463868394111625 0.322286235810849 0.42263503189269 0.440625873148924 0.401139790300717 0.445042042269525 0.532576557880195 0.448775724800961 0.415312700922724 0.526308686792351 0.487718507549174 0.424054080824089 0.377658312094353 0.301320789460468 0.236112663462613 0.355662351508979 0.316905846552749 0.425801728981839 0.423832756412004 0.318955513772797 0.366537300560586 0.405566546055891 0.309358081979892 0.40207118588745 0.301599390708302 0.329489291598023 0.323090035744726 0.35756352010769 0.377698316356151 0.398420922372836
"which" 0.359374448406114 0.225315156009355 0.449293549288998 0.350936015646829 0.312889036434559 0.2831224907204 0.71885333516693 0.519503279755646 0.596034545675709 0.419697439980567 0.538153644743478 0.615342709984152 0.414805031316748 0.172422451746824 0.156477031407176 0.323835742872829 0.120640293858149 0.476836076644311 0.482433426912699 0.475020322554623 0.500694743903023 0.542577653864157 0.232018561484919 0.385750953249952 0.258948971820259 0.132229255180786 0.20416118823133 0.265858993774188 0.182746608961841 0.197587565372272
"my" 0.214636212800508 0.299469511151674 0.140444872136648 0.478345906677843 1.0194483636263 0.517953185364745 0.178775699006732 0.349882329377598 0.341170405639448 0.259105815036234 0.32621875972486 0.308909469096672 0.332256766378092 0.937442456099235 0.188610707499721 0.221592762629196 0.151250517672903 0.0675302984220592 0.290277739922047 0.371390807379414 0.208423170907 0.192703902254021 0.130256034517849 0.169136956424979 1.34348819497334 1.27460331223446 0.166500386518754 0.29067810869931 0.288963952076846 0.320116199340293
"there" 0.424330144385216 0.280930922366094 0.363466127427713 0.378317965912266 0.340553849558746 0.353192939928793 0.316920557330116 0.334860547794302 0.404886440648513 0.492570950459508 0.397042569401968 0.359053090332805 0.330193059754625 0.279558732443879 0.483402257740025 0.301159284219572 0.419540126402218 0.365488409017099 0.283463708468478 0.457335046012746 0.572564802836472 0.326298274206719 0.525094639150079 0.332339282799958 0.383853769992384 0.383681609295066 0.334322204676547 0.374810701665825 0.377038581305748 0.340402397017117
"they" 0.401030818653581 0.332981575494838 0.435639186720157 0.250349259569712 0.243173707361607 0.369290205287478 0.516949311463523 0.581468128786741 0.498722783116409 0.315785212075411 0.303683911191235 0.236789322503962 0.343607152807157 0.30299479384636 0.870403487202414 0.435228873099355 0.504168392243009 0.483537556640393 0.310719834282755 0.312129617563651 0.598917157778736 0.256596862753137 0.276794073350429 0.360528775537455 0.371667936024372 0.374288274227579 0.553019140937291 0.293622749453138 0.408046128674724 0.328636402364559
"would" 0.304303314858615 0.26667046945411 0.264634550738961 0.30092204526404 0.243173707361607 0.269865919248542 0.304418760196778 0.282284312252767 0.377662316599186 0.322532759341979 0.384165513097039 0.476983458795563 0.326065646507692 0.214272561394111 0.195596289258969 0.355264518901027 0.442947944613501 0.288163639831535 0.512415165308403 0.612158782756545 0.541421110631977 0.247371675943105 0.268653071193064 0.250738119612469 0.182787509520183 0.190034394057632 0.282125654934556 0.483762409557463 0.505027181084077 0.518920936573174
"me" 0.284534189995411 0.495550738691461 0.292593483618016 0.370215143894943 0.673914847705204 0.492386940383304 0.151271745313389 0.25724800961394 0.249651009899155 0.302290117542273 0.297781927051476 0.34264807844691 0.401390938264216 0.56079146927365 0.286408852129205 0.269730508191373 0.33311125916056 0.14897905529752 0.196244105862793 0.479364074687715 0.206027502275885 0.284272423183236 0.227948060406236 0.290796872449964 0.856054836252856 0.819387843579294 0.147339627752707 0.314655897694767 0.321620837071832 0.323361990968585
"no" 0.442687188901048 0.379328047458787 0.378420905479301 0.381391450125733 0.347193404708551 0.392015756382092 0.316295467473449 0.361148665565069 0.309312388134916 0.40620234544743 0.358411400487182 0.342029021394612 0.348766419365823 0.264492692970856 0.297585782944004 0.271321838623181 0.369123287177917 0.340744482877719 0.508326746436262 0.466643086297944 0.404867998658426 0.260355272194262 0.354133593845402 0.357561460512455 0.28027418126428 0.299864157923639 0.258339885431877 0.388271916540468 0.369781495751306 0.344053912598946
"this" 0.299361033642814 0.241714676858137 0.324453662945311 0.392288348700754 0.433507621656016 0.477236572986895 0.440063259093495 0.490085624155025 0.442536824972052 0.385959703647724 0.435673738316754 0.379481973058637 0.416868737940214 0.272862714900313 0.310159830110652 0.236312569123416 0.189063147091128 0.239706784475248 0.452451688516994 0.380388579655106 0.364141631929472 0.261721966536489 0.211666056091505 0.259640064687468 0.466108149276466 0.371398017283737 0.389161617696613 0.275113579000505 0.234205942893334 0.243840096075432
"one" 0.457514032548452 0.595373909075352 0.37256903580694 0.275775356244761 0.265028909729715 0.278388000909022 0.325671815323453 0.310450152721446 0.390984760282899 0.24291170159647 0.288660678835485 0.264646889857369 0.442665070733544 0.416827092086981 0.413546440147535 0.400219603599589 0.496965986639538 0.335073999804111 0.332524734934176 0.250076015662329 0.273106223947104 0.33791517611565 0.325640086294623 0.24183617453747 0.374714394516375 0.429925720396543 0.352161531803556 0.368500757193337 0.314693619042593 0.357037079112114
"were" 0.14403219543192 0.152586846158234 0.135893417947034 0.290863369656329 0.250366558773895 0.354139837891069 0.487570088200179 0.445020279405137 0.503935913253515 0.294193060822391 0.361094120550709 0.324076366877971 0.285823367350098 0.341496894721864 0.550463842628814 0.408176255758627 0.406935916596143 0.438173692051529 0.367957698492736 0.325471141972436 0.498299075271908 0.316389740225573 0.223877559327553 0.329371967774959 0.481340441736481 0.324431341946299 0.321768604105688 0.301615345784957 0.360215337520452 0.376511828881865
"if" 0.361492568927172 0.3672066624836 0.344610102927885 0.402067616652696 0.378731291670125 0.412847511552155 0.21940653969008 0.284787942516649 0.28440521081319 0.439940081780273 0.408309993668781 0.404553783676704 0.283759660726631 0.326430855248841 0.331116575388398 0.272913169054988 0.270090210130183 0.141762076840201 0.265747226689198 0.424756905014552 0.309041253413828 0.200562394721826 0.236089062563602 0.200293764187475 0.152322924600152 0.165467210034972 0.243804137402462 0.396264512872287 0.428827782762443 0.393552234930398
"been" 0.261234864263777 0.245279790086133 0.31274992360059 0.271863649063984 0.275264890585664 0.319104613286872 0.280040255786769 0.286665665214561 0.348700482504156 0.388658722554351 0.379336616982691 0.372362816957211 0.411709471381548 0.187488491219847 0.202581871018218 0.295987460316197 0.178259538685921 0.254140741389887 0.344789991550601 0.46974576639301 0.555795122418667 0.351582119537921 0.345992591688037 0.376849008174953 0.228484386900228 0.207375935720686 0.241821989943905 0.435386168601716 0.390233282313823 0.439804765633558
"from" 0.330426801284993 0.305886714962067 0.303647015221363 0.330259849119866 0.293247019116386 0.327626694947352 0.366302656006801 0.327349657002654 0.249651009899155 0.399454798180861 0.355728680423655 0.358434033280507 0.312651553455161 0.246078644726049 0.278026154018107 0.359242844980546 0.26468840592758 0.445906168970086 0.36932050478345 0.332607306191088 0.400076661396196 0.356707223321272 0.313428583058575 0.354594145487456 0.371667936024372 0.305644671811324 0.305250708617716 0.298670705031129 0.267852430463926 0.300235725617005
"mr" 0.0515409326790694 0.0705892419143232 0.0559178657581097 0.668343112601285 0.854566077406147 0.618324369365957 0.358176487870131 0.267262530669471 0.45064613851866 0.240212682689842 0.413675433795834 0.613795067353407 0.158905410006913 0.0184140482448064 0.0251480943332961 0.016311136926027 0 0 0.571015835809098 0.561895365216474 0.285084567102678 0.179378632417306 0.0407050107868279 0.0415424103499948 0.00304645849200305 0.0245671840226596 0.337625783774141 0.231364630657917 0.177468728558611 0.159449513739842
"what" 0.378437533095633 0.323712281102048 0.305597638445483 0.30064263760827 0.357982681826984 0.429891674873116 0.268788638366765 0.312327875419358 0.276295897266582 0.322532759341979 0.350363240296602 0.355029219492868 0.332256766378092 0.282906741215662 0.403766625684587 0.240290895202934 0.25568539892324 0.213931861413394 0.324347897189893 0.367357323255828 0.229984188587035 0.281197360913225 0.215736557170188 0.360528775537455 0.234577303884235 0.28830313014827 0.235875547568235 0.371024734982332 0.396170897767457 0.35054549585553
"an" 0.334663042327108 0.282356967657293 0.363466127427713 0.272143056719754 0.273881649929455 0.303954245890463 0.411309125686817 0.307320614891593 0.324372541864331 0.256406796129607 0.351436328322012 0.358124504754358 0.292014487220497 0.22431658770946 0.136917402481279 0.258193362560769 0.145848713470299 0.194858418347621 0.290277739922047 0.190814825846566 0.21321450816923 0.33894019687232 0.801888712500509 0.324920995237459 0.255902513328256 0.370675453047776 0.393786628433245 0.213696786134949 0.19660104502032 0.24059430444714
"when" 0.154622798037208 0.210341680451771 0.214568554653212 0.345627270187203 0.340000553296262 0.338989470494659 0.23753414553342 0.206549496770317 0.286142920858892 0.369765590207959 0.261833478200217 0.295290213946117 0.357021245859689 0.363258951738454 0.298982899295853 0.213636110470159 0.352917874570106 0.220117842948239 0.219411812804928 0.333538110219608 0.325810933831632 0.196120638109588 0.280864574429112 0.185457189062477 0.170601675552171 0.203040550304922 0.188964724382396 0.330220427393572 0.347020636512377 0.322144819107975
"t" 0.000706040173685883 0.251696993896526 0.00975311612060053 0.314054205085219 0.379007939801367 0.487652450571926 0.0431312001100158 0.137073756947574 0.00810931354660828 0.526308686792351 0.218909957183788 0.203050713153724 0.464333990279942 0.776738035053652 0.859226556387616 0.147993730158099 0 0.000515498461237093 0.215323393932786 0.50914980360035 0.613291169565426 0.208420887189632 0.626857166117149 0.445097253749944 0.0822543792840823 0.51374317176797 0.54244768782499 0.247349823321555 0.327888320050668 0.214222247467268
"or" 0.241465739400572 0.335833666077235 0.258782681066601 0.309863090248673 0.288267352754032 0.327626694947352 0.268788638366765 0.250363026388263 0.238066276261143 0.214572003076882 0.25217568597152 0.221312896196513 0.224944021957838 0.234360614024809 0.202581871018218 0.313094262458128 0.338513063363163 0.357240433637306 0.263021614107771 0.28017201258447 0.282688898471563 0.279147319399885 0.215736557170188 0.258156407174968 0.255902513328256 0.290470822856152 0.264286327807547 0.217903415783274 0.192642634717897 0.223148174445071
"do" 0.306421435379673 0.289487194113285 0.381671944186167 0.225481978206203 0.284117630785404 0.293538368305431 0.138144858323384 0.248485303690351 0.256022613400061 0.202426417997058 0.182961508332529 0.238027436608558 0.294078193843963 0.359910942966671 0.368838716888342 0.196131475720276 0.349316671768371 0.138669086072778 0.313445446864183 0.446475665680014 0.229984188587035 0.139061149321607 0.158749542068629 0.204744736724974 0.067022086824067 0.232665683979306 0.199536177494698 0.267962308598351 0.334155803029503 0.270212153055304
