	acd006	acd012	acd011	acd001	acd010	acd007	acd005	acd004	acd002	acd009	acd008	acd003	totals
openly	2.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	7.0
surround	1.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	7.0
invited	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	7.0
Curupuri	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
Knolles	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	7.0
disorder	1.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	7.0
nostrils	0.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	7.0
foremost	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	7.0
climax	2.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
reaches	2.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7.0
blinked	0.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	7.0
sceptical	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	7.0
briefly	2.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	7.0
area	3.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0
escaping	1.0	1.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	7.0
Walter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	7.0
selfishness	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	7.0
sweetly	1.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	7.0
robust	0.0	0.0	0.0	1.0	1.0	1.0	0.0	3.0	1.0	0.0	0.0	0.0	7.0
Round	2.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	7.0
stripped	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	1.0	7.0
inquisitive	2.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	7.0
robbers	1.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	7.0
upturned	0.0	0.0	0.0	0.0	1.0	1.0	1.0	4.0	0.0	0.0	0.0	0.0	7.0
wreath	3.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	7.0
Cut	2.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	7.0
education	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	7.0
attacks	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	7.0
gallery	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	7.0
spaces	0.0	0.0	0.0	0.0	3.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	7.0
Vienna	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0
connoisseur	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	7.0
Tarp	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
pedestal	1.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	7.0
duck	3.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	7.0
exists	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0
varlets	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	7.0
sheath	1.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	7.0
addresses	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	7.0
dragoons	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	7.0
elders	1.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0	1.0	0.0	0.0	7.0
cheerily	4.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	7.0
flags	2.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	7.0
slew	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0	0.0	0.0	0.0	0.0	7.0
occupants	3.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0
suite	0.0	0.0	0.0	1.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	7.0
Rhine	1.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	1.0	0.0	7.0
clutch	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	3.0	0.0	0.0	7.0
travelers	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
edition	3.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
11	0.0	0.0	0.0	3.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	7.0
tins	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	7.0
compensation	1.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0
sling	2.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	7.0
toiled	2.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	7.0
scarcely	2.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	7.0
foggy	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	7.0
strips	0.0	0.0	0.0	1.0	1.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	7.0
nod	4.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	7.0
Cree	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
fearsome	0.0	0.0	0.0	1.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0
groans	2.0	0.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	7.0
mend	1.0	0.0	0.0	0.0	1.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	7.0
Jesuits	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	7.0
heathen	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	7.0
Hole	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
channels	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	7.0
Elizabeth	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	7.0
involuntarily	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	7.0
palms	1.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	7.0
cloudless	1.0	1.0	0.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	7.0
prepare	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	1.0	7.0
strive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	1.0	0.0	7.0
winning	2.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	1.0	7.0
sung	1.0	0.0	0.0	0.0	1.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	7.0
concentrated	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	7.0
rallied	0.0	0.0	1.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	7.0
languidly	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	7.0
weeds	3.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	7.0
comparative	2.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	7.0
Billy	2.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
cooking	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	1.0	0.0	1.0	0.0	7.0
impotent	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	7.0
snapping	0.0	0.0	0.0	0.0	2.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	7.0
pondering	1.0	0.0	1.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	7.0
differences	0.0	0.0	1.0	0.0	2.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	7.0
tough	2.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	1.0	0.0	7.0
Roger	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	7.0
spouse	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	7.0
exhibition	1.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	7.0
select	3.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	7.0
lanes	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	7.0
chattered	0.0	0.0	0.0	2.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	7.0
Bear	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	1.0	0.0	0.0	1.0	7.0
daintily	1.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	7.0
glazed	4.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	7.0
contain	0.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	1.0	1.0	7.0
trumpets	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	7.0
Nevada	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
Always	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0
caravan	0.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
rapidity	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	7.0
realised	0.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	7.0
robbed	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	3.0	7.0
atone	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	2.0	0.0	0.0	0.0	7.0
wanderer	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0
wilds	0.0	0.0	0.0	1.0	1.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	7.0
sufferer	4.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	7.0
adversary	2.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	7.0
vanguard	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	7.0
fancies	3.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0
shuffling	2.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	7.0
Him	1.0	0.0	0.0	1.0	1.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	7.0
overtaken	0.0	0.0	0.0	3.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	7.0
Prophet	0.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
labours	3.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	7.0
anatomy	2.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	7.0
retainers	0.0	0.0	0.0	0.0	1.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	7.0
pill	0.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
Glasgow	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
Park	0.0	0.0	0.0	1.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
Into	2.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	7.0
bellowed	2.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	7.0
trout	1.0	0.0	0.0	0.0	2.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	7.0
Fontanges	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	7.0
ammunition	0.0	0.0	0.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	7.0
magazine	1.0	0.0	0.0	2.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7.0
ornament	0.0	0.0	0.0	1.0	0.0	0.0	2.0	3.0	1.0	0.0	0.0	0.0	7.0
flicker	0.0	0.0	0.0	0.0	0.0	1.0	3.0	2.0	0.0	0.0	1.0	0.0	7.0
Racine	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	7.0
disconsolate	0.0	0.0	0.0	1.0	2.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	7.0
thanked	0.0	0.0	0.0	1.0	3.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	7.0
independent	3.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0
dazzling	0.0	0.0	0.0	0.0	1.0	1.0	2.0	3.0	0.0	0.0	0.0	0.0	7.0
foothold	3.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	7.0
visage	4.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0
chaos	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	7.0
heresy	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	7.0
fibre	2.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	7.0
cartel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	7.0
beggars	0.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0	7.0
13	1.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	7.0
robbery	3.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
producing	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0
Illingworth	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
charges	0.0	1.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	7.0
peacefully	2.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	1.0	7.0
jump	0.0	1.0	1.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0
pleaded	2.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	7.0
Nearer	1.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	1.0	7.0
grievance	2.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	7.0
rumble	0.0	1.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	7.0
spots	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	7.0
buying	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	7.0
im	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
afloat	4.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	7.0
sympathetic	2.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	7.0
coach	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	1.0	0.0	7.0
snoring	2.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	7.0
hushed	1.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	7.0
goings	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	7.0
branded	0.0	0.0	6.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0
Central	2.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0
regions	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	7.0
Lor	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0
foreground	0.0	2.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0
unhealthy	5.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
lee	3.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	7.0
studied	1.0	0.0	2.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	7.0
Madeira	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	7.0
pricking	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	7.0
mended	0.0	1.0	0.0	1.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	7.0
stalls	2.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	7.0
curtsey	1.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	7.0
Buddhists	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
ivy	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	4.0	0.0	0.0	0.0	7.0
foresters	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	7.0
whitewashed	4.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	7.0
wha	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
dresses	1.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	1.0	0.0	7.0
guid	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
labyrinth	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	4.0	7.0
United	2.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
Time	0.0	1.0	0.0	0.0	2.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	7.0
mining	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
dramatic	0.0	1.0	1.0	0.0	2.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0
titles	0.0	1.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	7.0
raven	0.0	1.0	1.0	0.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	7.0
epistle	4.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7.0
brilliancy	1.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	1.0	7.0
Pope	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	7.0
problems	0.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	7.0
stony	0.0	1.0	0.0	0.0	3.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	7.0
undo	3.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	7.0
inflated	4.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
sarcasm	1.0	1.0	0.0	1.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7.0
ower	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
doubtfully	3.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	7.0
stroking	0.0	2.0	0.0	0.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	7.0
foresee	3.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0
defend	0.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	7.0
Life	0.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	7.0
electrodes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	7.0
suppressed	2.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	7.0
Governor	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	1.0	7.0
branched	1.0	0.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	7.0
Dost	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	7.0
intelligent	2.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
shares	3.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0
hitherto	4.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	7.0
hasty	2.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	7.0
waits	1.0	0.0	1.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	1.0	7.0
ribbon	1.0	0.0	0.0	1.0	1.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	7.0
conjecture	1.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	7.0
exhaustion	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	7.0
starved	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	1.0	0.0	7.0
retorted	3.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	7.0
northward	0.0	0.0	0.0	0.0	0.0	4.0	2.0	1.0	0.0	0.0	0.0	0.0	7.0
revolving	1.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	7.0
preparing	0.0	1.0	2.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	7.0
disturb	1.0	0.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0
Pshaw	1.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	1.0	1.0	7.0
Johnson	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	7.0
singularly	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	7.0
securely	3.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	7.0
hauled	3.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	7.0
upraised	2.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	7.0
labour	3.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	7.0
Brockenhurst	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	7.0
perspiration	3.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
buildings	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	1.0	7.0
costume	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	1.0	7.0
reed	1.0	0.0	0.0	0.0	3.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	7.0
required	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	7.0
scrambled	1.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	7.0
gardener	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	7.0
alter	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	7.0
incredulity	2.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0
enlighten	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	7.0
prospects	0.0	2.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	7.0
tilting	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	7.0
abuse	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	7.0
huskily	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
convenience	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	7.0
wearily	1.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	1.0	7.0
dated	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	7.0
marksman	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	7.0
Persia	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	7.0
nuts	3.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	7.0
