	acd006	acd012	acd011	acd001	acd010	acd007	acd005	acd004	acd002	acd009	acd008	acd003	totals
asked	133.0	25.0	43.0	65.0	35.0	39.0	63.0	96.0	40.0	11.0	28.0	27.0	605.0
though	136.0	5.0	23.0	39.0	36.0	52.0	74.0	138.0	26.0	10.0	25.0	38.0	602.0
father	165.0	1.0	17.0	28.0	4.0	88.0	89.0	88.0	12.0	0.0	69.0	32.0	593.0
No	93.0	25.0	66.0	34.0	61.0	20.0	97.0	22.0	77.0	28.0	21.0	45.0	589.0
door	122.0	18.0	45.0	43.0	19.0	22.0	98.0	80.0	37.0	11.0	46.0	46.0	587.0
answered	140.0	14.0	38.0	59.0	9.0	75.0	31.0	137.0	9.0	5.0	22.0	43.0	582.0
left	69.0	23.0	42.0	29.0	36.0	27.0	85.0	144.0	43.0	16.0	19.0	45.0	578.0
hands	102.0	16.0	47.0	31.0	43.0	30.0	107.0	102.0	38.0	11.0	21.0	26.0	574.0
heard	85.0	19.0	59.0	27.0	48.0	44.0	60.0	103.0	65.0	12.0	23.0	29.0	574.0
most	87.0	28.0	33.0	29.0	84.0	34.0	54.0	86.0	52.0	23.0	28.0	33.0	571.0
saw	101.0	16.0	30.0	50.0	75.0	35.0	66.0	78.0	61.0	12.0	20.0	26.0	570.0
Holmes	0.0	0.0	149.0	94.0	0.0	0.0	0.0	0.0	190.0	0.0	0.0	134.0	567.0
sir	130.0	40.0	17.0	19.0	51.0	25.0	38.0	76.0	102.0	1.0	22.0	40.0	561.0
once	99.0	34.0	41.0	32.0	37.0	21.0	99.0	89.0	51.0	15.0	12.0	26.0	556.0
mind	113.0	36.0	31.0	37.0	28.0	34.0	56.0	94.0	44.0	20.0	32.0	30.0	555.0
Well	55.0	41.0	131.0	13.0	72.0	17.0	57.0	27.0	56.0	17.0	32.0	36.0	554.0
against	77.0	14.0	36.0	30.0	31.0	21.0	84.0	146.0	46.0	13.0	27.0	27.0	552.0
take	70.0	20.0	54.0	21.0	48.0	35.0	73.0	121.0	34.0	14.0	31.0	30.0	551.0
those	68.0	29.0	41.0	28.0	48.0	29.0	109.0	104.0	41.0	11.0	22.0	20.0	550.0
make	100.0	15.0	48.0	20.0	68.0	26.0	73.0	66.0	46.0	16.0	28.0	42.0	548.0
three	80.0	19.0	30.0	26.0	52.0	32.0	79.0	146.0	29.0	4.0	14.0	37.0	548.0
right	118.0	14.0	53.0	27.0	35.0	30.0	62.0	114.0	37.0	5.0	24.0	29.0	548.0
house	90.0	15.0	94.0	47.0	8.0	38.0	68.0	51.0	56.0	5.0	43.0	31.0	546.0
looked	104.0	20.0	36.0	19.0	73.0	27.0	74.0	71.0	47.0	14.0	23.0	32.0	540.0
As	120.0	24.0	33.0	33.0	51.0	37.0	70.0	86.0	28.0	12.0	21.0	22.0	537.0
seen	54.0	17.0	34.0	27.0	59.0	35.0	87.0	131.0	44.0	10.0	24.0	15.0	537.0
nothing	103.0	10.0	53.0	33.0	61.0	32.0	67.0	31.0	55.0	17.0	34.0	30.0	526.0
many	91.0	18.0	29.0	39.0	43.0	27.0	61.0	152.0	19.0	6.0	16.0	20.0	521.0
found	69.0	14.0	34.0	53.0	70.0	29.0	56.0	66.0	43.0	12.0	27.0	48.0	521.0
tell	68.0	14.0	60.0	26.0	26.0	37.0	54.0	63.0	62.0	27.0	44.0	37.0	518.0
done	90.0	9.0	46.0	38.0	42.0	23.0	80.0	83.0	34.0	17.0	27.0	28.0	517.0
get	120.0	18.0	87.0	25.0	64.0	20.0	54.0	17.0	40.0	10.0	26.0	33.0	514.0
same	102.0	38.0	53.0	25.0	54.0	32.0	52.0	62.0	39.0	16.0	12.0	28.0	513.0
ll	168.0	17.0	132.0	37.0	41.0	28.0	28.0	5.0	27.0	0.0	14.0	12.0	509.0
heart	102.0	2.0	23.0	34.0	17.0	17.0	100.0	124.0	32.0	10.0	18.0	27.0	506.0
half	99.0	21.0	30.0	20.0	61.0	21.0	72.0	64.0	34.0	14.0	20.0	39.0	495.0
behind	77.0	13.0	39.0	14.0	51.0	23.0	94.0	116.0	30.0	6.0	11.0	18.0	492.0
Alleyne	0.0	0.0	0.0	0.0	0.0	0.0	0.0	491.0	0.0	0.0	0.0	0.0	491.0
under	66.0	16.0	42.0	22.0	38.0	24.0	70.0	125.0	23.0	12.0	26.0	24.0	488.0
lay	61.0	19.0	26.0	23.0	59.0	30.0	77.0	112.0	36.0	7.0	21.0	16.0	487.0
morning	94.0	21.0	33.0	33.0	38.0	29.0	65.0	53.0	47.0	17.0	43.0	14.0	487.0
